"","Start","End","Init.Qty","Init.Pos","Max.Pos","End.Pos","Closing.Txn.Qty","Num.Txns","Max.Notional.Cost","Net.Trading.PL","MAE","MFE","Pct.Net.Trading.PL","Pct.MAE","Pct.MFE","tick.Net.Trading.PL","tick.MAE","tick.MFE","duration"
"1",1999-10-29,2000-02-22,900,900,900,0,-900,2,94259.549939505,-1169.6173898679,-1655.56235067104,7128.51274016459,-0.0124084762829713,-0.0175638686131386,0.0756264245345921,-129.9574877631,-165556.235067104,712851.274016459,10022400
"2",2000-02-24,2000-02-25,900,900,900,0,-900,2,92292.4499137638,-334.080563676631,-334.080563676631,0,-0.00361980382998597,-0.00361980382998597,0,-37.1200626307368,-33408.0563676631,0,86400
"3",2000-02-29,2000-04-17,900,900,900,0,-900,2,94792.6657451502,2531.40887856434,-753.062556338991,11390.838406922,0.0267046913246435,-0.00794431246784005,0.120165819975421,281.267653173816,-75306.2556338991,1139083.8406922,4147200
"4",2000-04-18,2000-05-11,900,900,900,0,-900,2,99895.4700234086,-2204.05319973775,-4386.49803477222,2549.78703499075,-0.0220635950681375,-0.0439108803807052,0.0255245511572572,-244.894799970862,-438649.803477222,254978.703499075,1987200
"5",2000-05-12,2000-05-24,900,900,900,0,-900,2,98750.2266941331,-1771.88590567154,-3327.68816430995,2679.43722321061,-0.0179431072210067,-0.0336980306345732,0.0271334792122538,-196.876211741283,-332768.816430995,267943.722321061,1036800
"6",2000-05-25,2000-05-26,900,900,900,0,-900,2,95314.4967063066,108.041823516571,0,108.041823516571,0.0011335298118342,0,0.0011335298118342,12.0046470573967,0,10804.1823516571,86400
"7",2000-05-31,2000-07-31,900,900,900,0,-900,2,98750.2266941331,362.453141742808,-265.664803021253,6080.49236304336,0.00367040313604001,-0.00269027031040766,0.0615744648554271,40.2725713047564,-26566.4803021253,608049.236304336,5270400
"8",2000-08-01,2000-09-22,900,900,900,0,-900,2,99719.1385411654,1227.63880091792,-574.594479226827,5977.95009499601,0.0123109647644132,-0.0057621283901247,0.0599478714161598,136.404311213102,-57459.4479226827,597795.009499601,4492800
"9",2000-09-25,2000-09-26,900,900,900,0,-900,2,100230.226760821,-1281.10558468121,-1281.10558468121,0,-0.0127816291161179,-0.0127816291161179,0,-142.345064964579,-128110.558468121,0,86400
"10",2000-09-29,2000-10-02,900,900,900,0,-900,2,99795.953681268,151.99557784354,0,151.99557784354,0.00152306353350747,0,0.00152306353350747,16.8883975381711,0,15199.557784354,259200
"11",2002-01-04,2002-01-10,900,900,900,0,-900,2,83025.8072049927,-1087.05851777182,-1447.05959451181,0,-0.013093019560627,-0.0174290337333185,0,-120.784279752424,-144705.959451181,0,518400
"12",2002-03-05,2002-03-26,900,900,900,0,-900,2,81444.6279705896,-552.468054139725,-1019.68170057237,1698.66588554445,-0.00678335782120861,-0.0125199380975819,0.020856696480434,-61.3853393488583,-101968.170057237,169866.588554445,1814400
"13",2002-03-27,2002-04-04,900,900,900,0,-900,2,81104.5331665464,-1345.01854958106,-1345.01854958106,0,-0.016583765383608,-0.016583765383608,0,-149.446505509006,-134501.854958106,0,691200
"14",2002-04-11,2002-04-12,900,900,900,0,-900,2,78287.0733915531,587.561532140171,0,587.561532140171,0.00750521774139493,0,0.00750521774139493,65.2846146822412,0,58756.1532140171,86400
"15",2002-04-17,2002-04-18,900,900,900,0,-900,2,79964.8074137082,-346.871423955148,-346.871423955148,0,-0.00433780102990262,-0.00433780102990262,0,-38.5412693283498,-34687.1423955148,0,86400
"16",2003-03-24,2003-03-25,900,900,900,0,-900,2,62413.6602593634,597.566325433581,0,597.566325433581,0.00957428747088957,0,0.00957428747088957,66.396258381509,0,59756.6325433581,86400
"17",2003-04-07,2003-04-08,900,900,900,0,-900,2,63392.8117002227,100.794207187253,0,100.794207187253,0.00158999426723486,0,0.00158999426723486,11.1993563541392,0,10079.4207187253,86400
"18",2003-04-09,2003-04-10,900,900,900,0,-900,2,62658.445779696,345.584767266177,0,345.584767266177,0.00551537407233553,0,0.00551537407233553,38.3983074740196,0,34558.4767266177,86400
"19",2003-04-15,2004-07-22,900,900,900,0,-900,2,64638.346134448,16012.4574694416,-1101.54384104371,20175.3845645065,0.247723811437496,-0.0170416464361959,0.312127177922245,1779.16194104907,-110154.384104371,2017538.45645065,40089600
"20",2004-07-30,2004-08-04,900,900,900,0,-900,2,81355.4331354041,-469.752776346417,-469.752776346417,168.820603736531,-0.00577407996297657,-0.00577407996297657,0.00207509931703705,-52.1947529273796,-46975.2776346417,16882.0603736531,432000
"21",2004-08-26,2004-08-31,900,900,900,0,-900,2,81546.271966958,7.34210056858137,-418.373486153374,256.895716975283,9.00360052211381e-05,-0.00513050414276322,0.00315030608731415,0.815788952064597,-41837.3486153374,25689.5716975283,432000
"22",2004-09-01,2004-09-24,900,900,900,0,-900,2,81707.7512041158,443.29914881858,0,1717.53920812644,0.00542542344252218,0,0.0210205174272368,49.2554609798422,0,171753.920812644,1987200
"23",2004-09-27,2004-09-28,900,900,900,0,-900,2,81627.7490419454,390.633186135281,0,390.633186135281,0.00478554401805873,0,0.00478554401805873,43.4036873483646,0,39063.3186135281,86400
"24",2004-09-30,2004-10-14,900,900,900,0,-900,2,82372.1661054927,-825.492765780815,-825.492765780815,2152.17032909239,-0.0100215012522995,-0.0100215012522995,0.0261273975281425,-91.7214184200905,-82549.2765780815,215217.032909239,1209600
"25",2004-10-19,2004-10-20,900,900,900,0,-900,2,81620.3771164743,-162.150667421898,-162.150667421898,0,-0.00198664442814942,-0.00198664442814942,0,-18.0167408246553,-16215.0667421898,0,86400
"26",2004-10-28,2005-04-18,900,900,900,0,-900,2,83448.2512700388,1927.38244241729,-14.7438509420754,7750.50844915694,0.0230967385545357,-0.00017668256335731,0.0928780211831674,214.153604713033,-1474.38509420754,775050.844915694,14860800
"27",2005-04-20,2005-04-21,900,900,900,0,-900,2,84853.6888437066,1647.86083082003,0,1647.86083082003,0.0194200258500872,0,0.0194200258500872,183.095647868893,0,164786.083082003,86400
"28",2005-04-22,2005-04-29,900,900,900,0,-900,2,86173.4671454022,134.214970028319,-1021.52728657612,566.686920285894,0.00155749762048979,-0.0118543134031323,0.00657611836981924,14.912774447591,-102152.728657612,56668.6920285894,604800
"29",2005-05-02,2005-10-07,900,900,900,0,-900,2,86792.3487762547,3134.62948423812,-507.035076856817,6579.0448854837,0.0361164264873048,-0.00584193288931403,0.0758021297757948,348.292164915346,-50703.5076856817,657904.48854837,13651200
"30",2005-10-10,2005-10-11,900,900,900,0,-900,2,89167.622712757,-127.810436606611,-127.810436606611,0,-0.00143337270545316,-0.00143337270545316,0,-14.2011596229568,-12781.0436606611,0,86400
"31",2005-10-20,2005-10-21,900,900,900,0,-900,2,88468.4162159503,345.843321854409,0,345.843321854409,0.00390922926674995,0,0.00390922926674995,38.427035761601,0,34584.3321854409,86400
"32",2005-10-25,2005-10-28,900,900,900,0,-900,2,90009.6801042012,60.1482990941295,-1217.97486284557,60.1482990941295,0.000668242560405701,-0.0135315986173439,0.000668242560405701,6.68314434379216,-121797.486284557,6014.82990941295,259200
"33",2005-10-31,2006-06-12,900,900,900,0,-900,2,90317.9294234106,3768.91593381292,0,10317.5828123486,0.0417294324379852,0,0.114236263809589,418.768437090325,0,1031758.28123486,19353600
"34",2006-06-16,2006-06-19,900,900,900,0,-900,2,95005.7531530748,-746.939563731619,-746.939563731619,0,-0.00786204560189253,-0.00786204560189253,0,-82.9932848590688,-74693.9563731619,0,259200
"35",2006-06-30,2006-07-14,900,900,900,0,-900,2,97010.2845751869,-2865.79876562752,-2865.79876562752,396.336709746785,-0.0295411850215367,-0.0295411850215367,0.004085512288541,-318.422085069725,-286579.876562752,39633.6709746785,1209600
"36",2006-07-20,2006-07-21,900,900,900,0,-900,2,95142.9455741993,-670.722314175902,-670.722314175902,0,-0.0070496273804433,-0.0070496273804433,0,-74.5247015751003,-67072.2314175902,0,86400
"37",2006-07-25,2007-08-06,900,900,900,0,-900,2,96537.7367133253,16947.8018359717,0,23824.7721075535,0.175556237518797,0,0.246792320999845,1883.08909288574,0,2382477.21075535,32572800
"38",2007-08-07,2007-08-15,900,900,900,0,-900,2,114696.379744868,-5223.71169011497,-5223.71169011497,1598.93284486659,-0.0455438236301326,-0.0455438236301326,0.0139405694270672,-580.412410012775,-522371.169011497,159893.284486659,691200
"39",2007-08-20,2007-08-21,900,900,900,0,-900,2,112266.926998265,225.088049315702,0,225.088049315702,0.00200493640766689,0,0.00200493640766689,25.0097832573002,0,22508.8049315702,86400
"40",2007-08-22,2007-08-29,900,900,900,0,-900,2,113827.048427275,-85.3807682668412,-2274.20708317638,1303.99154311736,-0.000750092086604458,-0.0199794962146401,0.0114559022757275,-9.48675202964902,-227420.708317638,130399.154311736,604800
"41",2007-08-30,2007-11-09,900,900,900,0,-900,2,113438.957554161,-249.508276391251,-279.426204823889,8594.14629219916,-0.00219949373452347,-0.00246322965979724,0.0757600958039125,-27.7231418212501,-27942.6204823889,859414.629219916,6134400
"42",2007-11-14,2007-11-16,900,900,900,0,-900,2,115162.504227861,-1466.14807810113,-1661.11405932208,0,-0.0127311236233644,-0.0144240876877372,0,-162.905342011237,-166111.405932208,0,172800
"43",2007-12-03,2007-12-05,900,900,900,0,-900,2,115170.298967791,881.250134438305,-1029.41414193519,881.250134438305,0.00765171352628652,-0.00893819110622512,0.00765171352628652,97.9166816042562,-102941.414193519,88125.0134438305,172800
"44",2007-12-06,2007-12-17,900,900,900,0,-900,2,117712.662381687,-4577.79733974821,-4577.79733974821,889.044874367552,-0.0388895913755188,-0.0388895913755188,0.00755266983499868,-508.644148860913,-457779.733974821,88904.4874367552,950400
"45",2007-12-24,2007-12-31,900,900,900,0,-900,2,116996.750334113,-2367.68014819734,-2367.68014819734,250.886417528076,-0.0202371445483387,-0.0202371445483387,0.00214438791514814,-263.075572021926,-236768.014819734,25088.6417528076,604800
"46",2008-05-07,2008-05-08,900,900,900,0,-900,2,109925.618814894,-283.638343168088,-283.638343168088,0,-0.00258027515538222,-0.00258027515538222,0,-31.5153714631209,-28363.8343168088,0,86400
"47",2008-05-16,2008-05-22,900,900,900,0,-900,2,112399.575474749,-2481.84259367913,-2497.59240056784,307.274083881144,-0.0220805335179997,-0.0222206568843219,0.00273376551987222,-275.76028818657,-249759.240056784,30727.4083881144,518400
"48",2009-06-01,2010-05-21,900,900,900,0,-900,2,76632.9266759767,13365.6686920705,-5104.9284603499,23841.1693858924,0.174411565260764,-0.0666153399299862,0.311108689437099,1485.07429911894,-510492.84603499,2384116.93858924,30585600
"49",2010-05-28,2010-06-01,900,900,900,0,-900,2,90213.0561377147,-1517.71399462811,-1517.71399462811,0,-0.0168236623345433,-0.0168236623345433,0,-168.634888292012,-151771.399462811,0,345600
"50",2010-06-03,2010-06-07,900,900,900,0,-900,2,91318.3421490199,-4305.68007986546,-4305.68007986546,0,-0.0471502217247783,-0.0471502217247783,0,-478.408897762829,-430568.007986546,0,345600
"51",2010-06-16,2010-06-23,900,900,900,0,-900,2,92349.3956104717,-1823.16193600772,-1823.16193600772,248.755833564821,-0.0197420018177248,-0.0197420018177248,0.00269363791631154,-202.573548445302,-182316.193600772,24875.5833564821,604800
"52",2010-07-27,2010-07-30,900,900,900,0,-900,2,92448.9733646273,-1060.82687062379,-1060.82687062379,0,-0.0114747285125578,-0.0114747285125578,0,-117.869652291532,-106082.687062379,0,259200
"53",2010-08-03,2010-08-12,900,900,900,0,-900,2,93004.2456693385,-2975.27723217457,-2975.27723217457,638.148186727019,-0.0319907678489505,-0.0319907678489505,0.00686149521599101,-330.586359130508,-297527.723217457,63814.8186727019,777600
"54",2010-09-13,2011-08-03,900,900,900,0,-900,2,93418.6292232531,13244.8543362685,-58.0128687809192,21349.617737983,0.141779583434219,-0.000620998929905933,0.22853704786185,1471.65048180761,-5801.28687809192,2134961.7737983,27993600
"55",2011-10-28,2011-11-01,900,900,900,0,-900,2,109280.265473498,-5608.47880369991,-5608.47880369991,0,-0.0513219727221477,-0.0513219727221477,0,-623.164311522212,-560847.880369991,0,345600
"56",2011-11-09,2011-11-10,900,900,900,0,-900,2,104657.521810979,985.728343031296,0,985.728343031296,0.00941860963239327,0,0.00941860963239327,109.525371447922,0,98572.8343031296,86400
"57",2011-11-14,2011-11-15,900,900,900,0,-900,2,106611.985671484,526.859170087162,0,526.859170087162,0.0049418380754171,0,0.0049418380754171,58.5399077874625,0,52685.9170087162,86400
"58",2011-12-06,2011-12-09,900,900,900,0,-900,2,107291.803215346,-178.45058630222,-1962.97004562432,399.392159070412,-0.00166322664876879,-0.0182956198590905,0.00372248528872973,-19.8278429224689,-196297.004562432,39939.2159070412,259200
"59",2011-12-12,2011-12-13,900,900,900,0,-900,2,105549.77474249,-985.728343031296,-985.728343031296,0,-0.00933899049463799,-0.00933899049463799,0,-109.525371447922,-98572.8343031296,0,86400
"60",2011-12-23,2012-11-15,900,900,900,0,-900,2,108083.431531443,9699.3910245422,-1334.04407210063,19037.124714132,0.0897398508458769,-0.0123427249967776,0.176133607569574,1077.71011383802,-133404.407210063,1903712.4714132,28339200
"61",2012-11-20,2014-06-27,900,900,900,900,-900,1,120812.024094099,55425.982205901,0,55533.977705901,0.458778690461559,0,0.459672603967353,6158.44246732234,0,5553397.7705901,50457600
